date,sales
2018-02-06,6573.0
2018-02-07,6462.0
2018-02-08,6342.0
2018-02-09,6717.0
2018-02-10,6543.0
2018-02-11,6468.0
2018-02-12,6588.0
2018-02-13,6786.0
2018-02-14,6687.0
2018-02-15,6618.0
2018-02-16,6639.0
2018-02-17,6690.0
2018-02-18,6606.0
2018-02-19,6354.0
2018-02-20,6324.0
2018-02-21,6492.0
2018-02-22,6699.0
2018-02-23,6510.0
2018-02-24,6774.0
2018-02-25,6600.0
2018-02-26,6273.0
2018-02-27,6558.0
2018-02-28,6660.0
2018-03-01,6645.0
2018-03-02,6723.0
2018-03-03,6165.0
2018-03-04,6705.0
2018-03-05,6489.0
2018-03-06,6897.0
2018-03-07,6441.0
2018-03-08,6507.0
2018-03-09,6480.0
2018-03-10,6837.0
2018-03-11,6525.0
2018-03-12,6378.0
2018-03-13,6324.0
2018-03-14,6435.0
2018-03-15,6432.0
2018-03-16,6600.0
2018-03-17,6579.0
2018-03-18,6762.0
2018-03-19,6237.0
2018-03-20,6567.0
2018-03-21,6483.0
2018-03-22,6390.0
2018-03-23,6885.0
2018-03-24,6954.0
2018-03-25,6954.0
2018-03-26,6435.0
2018-03-27,6594.0
2018-03-28,6351.0
2018-03-29,6744.0
2018-03-30,6789.0
2018-03-31,6642.0
2018-04-01,6507.0
2018-04-02,6498.0
2018-04-03,6681.0
2018-04-04,6717.0
2018-04-05,6459.0
2018-04-06,6600.0
2018-04-07,6741.0
2018-04-08,6588.0
2018-04-09,6666.0
2018-04-10,6639.0
2018-04-11,6543.0
2018-04-12,6810.0
2018-04-13,6714.0
2018-04-14,6675.0
2018-04-15,6297.0
2018-04-16,6384.0
2018-04-17,6570.0
2018-04-18,6576.0
2018-04-19,6921.0
2018-04-20,6474.0
2018-04-21,6648.0
2018-04-22,6300.0
2018-04-23,6555.0
2018-04-24,6585.0
2018-04-25,6441.0
2018-04-26,6750.0
2018-04-27,6897.0
2018-04-28,6447.0
2018-04-29,6684.0
2018-04-30,6438.0
2018-05-01,6591.0
2018-05-02,6741.0
2018-05-03,6624.0
2018-05-04,6543.0
2018-05-05,6405.0
2018-05-06,6795.0
2018-05-07,6825.0
2018-05-08,6630.0
2018-05-09,6294.0
2018-05-10,6519.0
2018-05-11,6624.0
2018-05-12,6375.0
2018-05-13,6567.0
2018-05-14,6483.0
2018-05-15,6930.0
2018-05-16,6465.0
2018-05-17,6450.0
2018-05-18,6402.0
2018-05-19,6756.0
2018-05-20,6654.0
2018-05-21,6444.0
2018-05-22,6243.0
2018-05-23,6609.0
2018-05-24,6285.0
2018-05-25,6621.0
2018-05-26,6468.0
2018-05-27,6618.0
2018-05-28,6753.0
2018-05-29,6729.0
2018-05-30,6783.0
2018-05-31,6540.0
2018-06-01,6753.0
2018-06-02,6924.0
2018-06-03,6357.0
2018-06-04,6519.0
2018-06-05,6750.0
2018-06-06,6795.0
2018-06-07,6432.0
2018-06-08,6693.0
2018-06-09,6876.0
2018-06-10,6513.0
2018-06-11,6891.0
2018-06-12,6417.0
2018-06-13,6621.0
2018-06-14,6621.0
2018-06-15,6741.0
2018-06-16,6486.0
2018-06-17,6363.0
2018-06-18,6483.0
2018-06-19,6573.0
2018-06-20,6615.0
2018-06-21,6483.0
2018-06-22,6909.0
2018-06-23,6606.0
2018-06-24,6378.0
2018-06-25,6423.0
2018-06-26,6393.0
2018-06-27,6612.0
2018-06-28,6396.0
2018-06-29,6858.0
2018-06-30,6279.0
2018-07-01,6687.0
2018-07-02,6657.0
2018-07-03,6420.0
2018-07-04,6666.0
2018-07-05,6474.0
2018-07-06,6756.0
2018-07-07,6807.0
2018-07-08,6675.0
2018-07-09,6468.0
2018-07-10,7104.0
2018-07-11,6489.0
2018-07-12,6351.0
2018-07-13,6534.0
2018-07-14,6348.0
2018-07-15,6687.0
2018-07-16,6549.0
2018-07-17,6519.0
2018-07-18,6549.0
2018-07-19,6576.0
2018-07-20,6789.0
2018-07-21,6741.0
2018-07-22,6687.0
2018-07-23,6609.0
2018-07-24,6735.0
2018-07-25,6477.0
2018-07-26,6444.0
2018-07-27,6597.0
2018-07-28,6438.0
2018-07-29,6894.0
2018-07-30,6702.0
2018-07-31,6528.0
2018-08-01,6456.0
2018-08-02,6363.0
2018-08-03,6726.0
2018-08-04,6789.0
2018-08-05,6636.0
2018-08-06,6558.0
2018-08-07,6303.0
2018-08-08,6327.0
2018-08-09,6894.0
2018-08-10,6660.0
2018-08-11,6459.0
2018-08-12,6714.0
2018-08-13,6579.0
2018-08-14,6681.0
2018-08-15,6678.0
2018-08-16,6915.0
2018-08-17,6864.0
2018-08-18,6705.0
2018-08-19,6360.0
2018-08-20,6528.0
2018-08-21,6804.0
2018-08-22,6543.0
2018-08-23,6462.0
2018-08-24,6486.0
2018-08-25,6585.0
2018-08-26,6339.0
2018-08-27,6456.0
2018-08-28,6624.0
2018-08-29,6837.0
2018-08-30,6813.0
2018-08-31,6690.0
2018-09-01,6336.0
2018-09-02,6261.0
2018-09-03,6843.0
2018-09-04,6627.0
2018-09-05,6603.0
2018-09-06,6627.0
2018-09-07,6843.0
2018-09-08,6504.0
2018-09-09,6483.0
2018-09-10,6615.0
2018-09-11,6618.0
2018-09-12,6687.0
2018-09-13,6429.0
2018-09-14,6711.0
2018-09-15,6543.0
2018-09-16,6672.0
2018-09-17,6651.0
2018-09-18,6462.0
2018-09-19,6672.0
2018-09-20,6666.0
2018-09-21,6675.0
2018-09-22,6612.0
2018-09-23,6891.0
2018-09-24,6561.0
2018-09-25,6612.0
2018-09-26,6345.0
2018-09-27,6675.0
2018-09-28,6447.0
2018-09-29,6438.0
2018-09-30,6465.0
2018-10-01,6819.0
2018-10-02,6921.0
2018-10-03,6651.0
2018-10-04,6495.0
2018-10-05,6969.0
2018-10-06,6342.0
2018-10-07,6513.0
2018-10-08,6882.0
2018-10-09,6408.0
2018-10-10,6555.0
2018-10-11,6819.0
2018-10-12,6627.0
2018-10-13,6702.0
2018-10-14,6588.0
2018-10-15,6498.0
2018-10-16,6651.0
2018-10-17,6387.0
2018-10-18,6393.0
2018-10-19,6636.0
2018-10-20,6840.0
2018-10-21,6807.0
2018-10-22,6348.0
2018-10-23,6804.0
2018-10-24,6513.0
2018-10-25,6504.0
2018-10-26,6372.0
2018-10-27,6489.0
2018-10-28,6927.0
2018-10-29,6789.0
2018-10-30,6702.0
2018-10-31,6417.0
2018-11-01,6459.0
2018-11-02,6657.0
2018-11-03,6531.0
2018-11-04,6459.0
2018-11-05,6645.0
2018-11-06,6744.0
2018-11-07,6525.0
2018-11-08,6240.0
2018-11-09,6738.0
2018-11-10,6465.0
2018-11-11,6549.0
2018-11-12,6693.0
2018-11-13,6699.0
2018-11-14,6375.0
2018-11-15,6549.0
2018-11-16,6603.0
2018-11-17,6228.0
2018-11-18,6525.0
2018-11-19,6339.0
2018-11-20,6675.0
2018-11-21,6312.0
2018-11-22,6855.0
2018-11-23,6801.0
2018-11-24,6495.0
2018-11-25,6771.0
2018-11-26,6504.0
2018-11-27,6789.0
2018-11-28,6891.0
2018-11-29,6588.0
2018-11-30,6612.0
2018-12-01,6384.0
2018-12-02,6456.0
2018-12-03,6441.0
2018-12-04,6885.0
2018-12-05,6651.0
2018-12-06,6858.0
2018-12-07,6600.0
2018-12-08,7029.0
2018-12-09,6609.0
2018-12-10,6510.0
2018-12-11,6231.0
2018-12-12,6762.0
2018-12-13,6807.0
2018-12-14,6675.0
2018-12-15,6486.0
2018-12-16,6696.0
2018-12-17,6504.0
2018-12-18,6894.0
2018-12-19,6699.0
2018-12-20,6675.0
2018-12-21,6480.0
2018-12-22,6549.0
2018-12-23,6834.0
2018-12-24,6591.0
2018-12-25,6273.0
2018-12-26,6549.0
2018-12-27,6573.0
2018-12-28,7005.0
2018-12-29,6855.0
2018-12-30,6831.0
2018-12-31,6480.0
2019-01-01,6456.0
2019-01-02,6858.0
2019-01-03,6516.0
2019-01-04,6318.0
2019-01-05,6627.0
2019-01-06,6855.0
2019-01-07,6606.0
2019-01-08,6705.0
2019-01-09,6663.0
2019-01-10,6516.0
2019-01-11,6393.0
2019-01-12,6798.0
2019-01-13,6318.0
2019-01-14,6702.0
2019-01-15,6486.0
2019-01-16,6321.0
2019-01-17,6459.0
2019-01-18,6504.0
2019-01-19,6483.0
2019-01-20,6615.0
2019-01-21,6333.0
2019-01-22,6750.0
2019-01-23,6615.0
2019-01-24,6360.0
2019-01-25,6690.0
2019-01-26,6657.0
2019-01-27,6345.0
2019-01-28,6855.0
2019-01-29,6447.0
2019-01-30,6858.0
2019-01-31,6525.0
2019-02-01,6501.0
2019-02-02,6591.0
2019-02-03,6807.0
2019-02-04,6297.0
2019-02-05,6474.0
2019-02-06,6528.0
2019-02-07,6525.0
2019-02-08,6783.0
2019-02-09,6690.0
2019-02-10,6471.0
2019-02-11,6423.0
2019-02-12,6666.0
2019-02-13,6699.0
2019-02-14,6507.0
2019-02-15,6579.0
2019-02-16,6798.0
2019-02-17,6528.0
2019-02-18,6936.0
2019-02-19,6555.0
2019-02-20,6603.0
2019-02-21,6774.0
2019-02-22,7002.0
2019-02-23,6474.0
2019-02-24,6624.0
2019-02-25,6660.0
2019-02-26,6381.0
2019-02-27,6507.0
2019-02-28,6609.0
2019-03-01,6477.0
2019-03-02,6873.0
2019-03-03,6420.0
2019-03-04,6423.0
2019-03-05,6435.0
2019-03-06,6690.0
2019-03-07,6366.0
2019-03-08,6717.0
2019-03-09,6582.0
2019-03-10,6708.0
2019-03-11,6762.0
2019-03-12,6393.0
2019-03-13,6516.0
2019-03-14,6597.0
2019-03-15,6531.0
2019-03-16,6651.0
2019-03-17,6537.0
2019-03-18,6648.0
2019-03-19,6669.0
2019-03-20,6618.0
2019-03-21,6981.0
2019-03-22,6789.0
2019-03-23,6726.0
2019-03-24,6675.0
2019-03-25,6438.0
2019-03-26,6837.0
2019-03-27,6378.0
2019-03-28,6351.0
2019-03-29,6600.0
2019-03-30,6582.0
2019-03-31,6720.0
2019-04-01,6483.0
2019-04-02,6828.0
2019-04-03,6378.0
2019-04-04,6507.0
2019-04-05,6594.0
2019-04-06,6735.0
2019-04-07,6390.0
2019-04-08,6810.0
2019-04-09,6819.0
2019-04-10,6315.0
2019-04-11,6465.0
2019-04-12,6300.0
2019-04-13,6564.0
2019-04-14,6723.0
2019-04-15,6426.0
2019-04-16,6561.0
2019-04-17,6411.0
2019-04-18,6372.0
2019-04-19,6438.0
2019-04-20,6471.0
2019-04-21,6606.0
2019-04-22,6441.0
2019-04-23,6588.0
2019-04-24,6684.0
2019-04-25,6684.0
2019-04-26,6867.0
2019-04-27,6876.0
2019-04-28,6351.0
2019-04-29,6945.0
2019-04-30,6609.0
2019-05-01,6738.0
2019-05-02,6441.0
2019-05-03,6426.0
2019-05-04,6738.0
2019-05-05,6399.0
2019-05-06,6375.0
2019-05-07,6609.0
2019-05-08,6750.0
2019-05-09,6870.0
2019-05-10,6570.0
2019-05-11,6285.0
2019-05-12,6771.0
2019-05-13,6453.0
2019-05-14,6627.0
2019-05-15,6483.0
2019-05-16,6567.0
2019-05-17,6693.0
2019-05-18,6540.0
2019-05-19,6861.0
2019-05-20,6900.0
2019-05-21,6525.0
2019-05-22,6843.0
2019-05-23,6675.0
2019-05-24,6699.0
2019-05-25,6615.0
2019-05-26,6588.0
2019-05-27,6501.0
2019-05-28,6483.0
2019-05-29,6537.0
2019-05-30,6813.0
2019-05-31,6762.0
2019-06-01,6612.0
2019-06-02,6663.0
2019-06-03,6729.0
2019-06-04,6462.0
2019-06-05,6399.0
2019-06-06,6567.0
2019-06-07,6642.0
2019-06-08,6603.0
2019-06-09,7026.0
2019-06-10,6777.0
2019-06-11,6504.0
2019-06-12,6468.0
2019-06-13,6666.0
2019-06-14,6519.0
2019-06-15,6945.0
2019-06-16,6429.0
2019-06-17,6201.0
2019-06-18,6885.0
2019-06-19,6534.0
2019-06-20,6753.0
2019-06-21,6477.0
2019-06-22,6582.0
2019-06-23,6801.0
2019-06-24,6720.0
2019-06-25,6807.0
2019-06-26,6957.0
2019-06-27,6717.0
2019-06-28,6795.0
2019-06-29,6267.0
2019-06-30,6768.0
2019-07-01,6606.0
2019-07-02,6585.0
2019-07-03,6963.0
2019-07-04,6636.0
2019-07-05,6153.0
2019-07-06,6852.0
2019-07-07,6504.0
2019-07-08,6885.0
2019-07-09,6798.0
2019-07-10,6687.0
2019-07-11,6744.0
2019-07-12,6576.0
2019-07-13,6786.0
2019-07-14,6756.0
2019-07-15,6498.0
2019-07-16,6432.0
2019-07-17,6483.0
2019-07-18,6630.0
2019-07-19,6780.0
2019-07-20,6687.0
2019-07-21,6774.0
2019-07-22,6528.0
2019-07-23,6831.0
2019-07-24,6480.0
2019-07-25,6696.0
2019-07-26,6687.0
2019-07-27,6627.0
2019-07-28,6504.0
2019-07-29,6765.0
2019-07-30,6774.0
2019-07-31,6873.0
2019-08-01,6549.0
2019-08-02,6669.0
2019-08-03,6957.0
2019-08-04,6456.0
2019-08-05,6189.0
2019-08-06,6552.0
2019-08-07,6747.0
2019-08-08,6858.0
2019-08-09,6729.0
2019-08-10,6474.0
2019-08-11,6714.0
2019-08-12,6528.0
2019-08-13,6498.0
2019-08-14,6573.0
2019-08-15,6561.0
2019-08-16,6654.0
2019-08-17,6291.0
2019-08-18,6831.0
2019-08-19,6714.0
2019-08-20,6663.0
2019-08-21,6411.0
2019-08-22,6666.0
2019-08-23,6660.0
2019-08-24,6804.0
2019-08-25,6474.0
2019-08-26,6426.0
2019-08-27,6738.0
2019-08-28,6519.0
2019-08-29,6651.0
2019-08-30,6573.0
2019-08-31,6762.0
2019-09-01,6573.0
2019-09-02,6507.0
2019-09-03,6552.0
2019-09-04,6420.0
2019-09-05,6672.0
2019-09-06,6453.0
2019-09-07,6579.0
2019-09-08,6705.0
2019-09-09,6840.0
2019-09-10,6519.0
2019-09-11,6624.0
2019-09-12,6621.0
2019-09-13,6597.0
2019-09-14,6759.0
2019-09-15,6507.0
2019-09-16,6924.0
2019-09-17,6537.0
2019-09-18,6747.0
2019-09-19,6447.0
2019-09-20,6438.0
2019-09-21,6564.0
2019-09-22,6585.0
2019-09-23,6876.0
2019-09-24,6648.0
2019-09-25,6810.0
2019-09-26,6582.0
2019-09-27,6771.0
2019-09-28,6423.0
2019-09-29,6450.0
2019-09-30,6651.0
2019-10-01,6477.0
2019-10-02,6750.0
2019-10-03,6624.0
2019-10-04,6585.0
2019-10-05,6387.0
2019-10-06,6606.0
2019-10-07,6534.0
2019-10-08,6354.0
2019-10-09,6717.0
2019-10-10,6750.0
2019-10-11,6513.0
2019-10-12,6624.0
2019-10-13,6456.0
2019-10-14,6429.0
2019-10-15,6759.0
2019-10-16,6429.0
2019-10-17,6597.0
2019-10-18,6564.0
2019-10-19,6732.0
2019-10-20,6627.0
2019-10-21,6597.0
2019-10-22,6513.0
2019-10-23,6801.0
2019-10-24,6618.0
2019-10-25,6423.0
2019-10-26,6576.0
2019-10-27,6816.0
2019-10-28,6492.0
2019-10-29,6465.0
2019-10-30,6810.0
2019-10-31,6660.0
2019-11-01,6711.0
2019-11-02,6897.0
2019-11-03,6390.0
2019-11-04,6648.0
2019-11-05,6459.0
2019-11-06,6483.0
2019-11-07,6825.0
2019-11-08,6780.0
2019-11-09,6645.0
2019-11-10,6684.0
2019-11-11,6585.0
2019-11-12,6804.0
2019-11-13,6519.0
2019-11-14,6654.0
2019-11-15,6420.0
2019-11-16,6456.0
2019-11-17,6456.0
2019-11-18,6792.0
2019-11-19,6828.0
2019-11-20,6087.0
2019-11-21,6711.0
2019-11-22,6855.0
2019-11-23,6477.0
2019-11-24,6591.0
2019-11-25,6735.0
2019-11-26,6201.0
2019-11-27,6687.0
2019-11-28,7002.0
2019-11-29,6786.0
2019-11-30,6828.0
2019-12-01,6627.0
2019-12-02,6633.0
2019-12-03,6927.0
2019-12-04,6789.0
2019-12-05,6702.0
2019-12-06,6573.0
2019-12-07,6780.0
2019-12-08,6672.0
2019-12-09,6750.0
2019-12-10,6243.0
2019-12-11,6234.0
2019-12-12,6696.0
2019-12-13,7095.0
2019-12-14,6579.0
2019-12-15,6663.0
2019-12-16,6876.0
2019-12-17,6489.0
2019-12-18,6504.0
2019-12-19,6483.0
2019-12-20,7134.0
2019-12-21,6555.0
2019-12-22,6582.0
2019-12-23,6678.0
2019-12-24,6696.0
2019-12-25,6528.0
2019-12-26,6549.0
2019-12-27,6558.0
2019-12-28,7083.0
2019-12-29,7023.0
2019-12-30,6498.0
2019-12-31,6519.0
2020-01-01,6588.0
2020-01-02,6480.0
2020-01-03,6693.0
2020-01-04,6750.0
2020-01-05,6594.0
2020-01-06,6558.0
2020-01-07,6417.0
2020-01-08,7032.0
2020-01-09,6387.0
2020-01-10,6672.0
2020-01-11,6555.0
2020-01-12,6729.0
2020-01-13,6711.0
2020-01-14,6285.0
